"","X","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR","idx","group"
"53",53,"17-AAG","M14",1,0.0356357063245601,0.0383425390848164,92.9403925121687,"17-AAG_M14","I"
"54",54,"17-AAG","M14",2,0.0391410335392915,0.0383425390848164,102.08252889228,"17-AAG_M14","I"
"55",55,"17-AAG","M14",3,0.0247594130981536,0.0383425390848164,64.574265787104,"17-AAG_M14","I"
"56",56,"17-AAG","M14",4,0.0238889570997062,0.0383425390848164,62.3040561994659,"17-AAG_M14","I"
"57",57,"17-AAG","M14",5,0.020094121574073,0.0383425390848164,52.4068620745835,"17-AAG_M14","I"
"58",58,"17-AAG","MALME3M",1,0.0119653191882623,0.0149155090091872,80.2206561029351,"17-AAG_MALME3M","S"
"59",59,"17-AAG","MALME3M",2,0.015065796906268,0.0149155090091872,101.007594826219,"17-AAG_MALME3M","S"
"60",60,"17-AAG","MALME3M",3,0.0107778745704961,0.0149155090091872,72.2595156749763,"17-AAG_MALME3M","S"
"61",61,"17-AAG","MALME3M",4,0.000455215025373823,0.0149155090091872,3.05195769781262,"17-AAG_MALME3M","S"
"62",62,"17-AAG","MDAMB231",1,0.0306580706748049,0.0313143348703864,97.9042690885887,"17-AAG_MDAMB231","S"
"63",63,"17-AAG","MDAMB231",2,0.0314058802407992,0.0313143348703864,100.292343333466,"17-AAG_MDAMB231","S"
"64",64,"17-AAG","MDAMB231",3,0.031791119315198,0.0313143348703864,101.522575672723,"17-AAG_MDAMB231","S"
"65",65,"17-AAG","MDAMB231",4,0.0169827149900149,0.0313143348703864,54.2330375539134,"17-AAG_MDAMB231","S"
"66",66,"17-AAG","MDAMB231",5,0.00617895005112874,0.0313143348703864,19.7320175462903,"17-AAG_MDAMB231","S"
"67",67,"17-AAG","OVCAR4",1,0.0260445417027529,0.029170765833557,89.2830234603996,"17-AAG_OVCAR4","S"
"68",68,"17-AAG","OVCAR4",2,0.0274240191473443,0.029170765833557,94.0119957899655,"17-AAG_OVCAR4","S"
"69",69,"17-AAG","OVCAR4",3,0.0273984115830579,0.029170765833557,93.9242107642571,"17-AAG_OVCAR4","S"
"70",70,"17-AAG","OVCAR4",4,0.0138723289118334,0.029170765833557,47.5555869564287,"17-AAG_OVCAR4","S"
"71",71,"17-AAG","OVCAR4",5,-0.00319826193405804,0.029170765833557,-10.9639285862659,"17-AAG_OVCAR4","S"
"72",72,"17-AAG","OVCAR5",1,0.04220631216427,0.0434162002674235,97.21327961521,"17-AAG_OVCAR5","S"
"73",73,"17-AAG","OVCAR5",2,0.0452439591961642,0.0434162002674235,104.209854656747,"17-AAG_OVCAR5","S"
"74",74,"17-AAG","OVCAR5",3,0.0401259217867952,0.0434162002674235,92.4215420502905,"17-AAG_OVCAR5","S"
"75",75,"17-AAG","OVCAR5",4,0.00846613309608443,0.0434162002674235,19.499940215719,"17-AAG_OVCAR5","S"
"76",76,"17-AAG","OVCAR5",5,0.00803281540725269,0.0434162002674235,18.5018849134063,"17-AAG_OVCAR5","S"
"77",77,"17-AAG","SF539",1,0.0309987696336883,0.0384652108775527,80.5891061727633,"17-AAG_SF539","S"
"78",78,"17-AAG","SF539",2,0.0368095834060146,0.0384652108775527,95.6957795530914,"17-AAG_SF539","S"
"79",79,"17-AAG","SF539",3,0.0342440061076175,0.0384652108775527,89.0259154346699,"17-AAG_SF539","S"
"80",80,"17-AAG","SF539",4,0.0174541342382747,0.0384652108775527,45.3764163514841,"17-AAG_SF539","S"
"81",81,"17-AAG","SF539",5,0.0202416024791707,0.0384652108775527,52.6231418400547,"17-AAG_SF539","S"
"82",82,"17-AAG","SKMEL2",1,0.0288379728108535,0.0333796703715687,86.3938214183695,"17-AAG_SKMEL2","S"
"83",83,"17-AAG","SKMEL2",2,0.034124846374741,0.0333796703715687,102.232424691069,"17-AAG_SKMEL2","S"
"84",84,"17-AAG","SKMEL2",3,0.0260130235035702,0.0333796703715687,77.9307381229471,"17-AAG_SKMEL2","S"
"85",85,"17-AAG","SKMEL2",4,0.0197895276219181,0.0333796703715687,59.2861685020529,"17-AAG_SKMEL2","S"
"86",86,"17-AAG","SKMEL2",5,0.00377452710370221,0.0333796703715687,11.307862125916,"17-AAG_SKMEL2","S"
"87",87,"17-AAG","SW620",1,0.036703622769399,0.037384362126904,98.1790799179772,"17-AAG_SW620","S"
"88",88,"17-AAG","SW620",2,0.0397063022629226,0.037384362126904,106.210993056767,"17-AAG_SW620","S"
"89",89,"17-AAG","SW620",3,0.026498904346684,0.037384362126904,70.8823230866732,"17-AAG_SW620","S"
"90",90,"17-AAG","SW620",4,0.000869894483265487,0.037384362126904,2.32689401068973,"17-AAG_SW620","S"
"91",91,"17-AAG","SW620",5,0.00171666485983394,0.037384362126904,4.59193299595856,"17-AAG_SW620","S"
"92",92,"17-AAG","T47D",1,0.02663476653886,0.0276361106024267,96.3766823849706,"17-AAG_T47D","R"
"93",93,"17-AAG","T47D",2,0.0292363137035872,0.0276361106024267,105.790261604395,"17-AAG_T47D","R"
"94",94,"17-AAG","T47D",3,0.0297322089825632,0.0276361106024267,107.584635950735,"17-AAG_T47D","R"
"95",95,"17-AAG","T47D",4,0.0256829485368344,0.0276361106024267,92.9325725544722,"17-AAG_T47D","R"
"96",96,"17-AAG","T47D",5,0.0206856021454915,0.0276361106024267,74.849903602843,"17-AAG_T47D","R"
"97",97,"17-AAG","UACC257",1,0.0275787275917934,0.0272559337351184,101.184306726792,"17-AAG_UACC257","S"
"98",98,"17-AAG","UACC257",2,0.0282599410654587,0.0272559337351184,103.683628453523,"17-AAG_UACC257","S"
"99",99,"17-AAG","UACC257",3,0.015377564192504,0.0272559337351184,56.4191428624237,"17-AAG_UACC257","S"
"100",100,"17-AAG","UACC257",4,0.00756472536153981,0.0272559337351184,27.7544164696618,"17-AAG_UACC257","S"
"101",101,"17-AAG","UACC257",5,0.00478291155335306,0.0272559337351184,17.5481478632685,"17-AAG_UACC257","S"
