"","X","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR","idx","group"
"853",853,"Fluorouracil","HS578T",1,0.0267874207299924,0.0300198026815637,89.2325010065557,"Fluorouracil_HS578T","R"
"854",854,"Fluorouracil","HS578T",2,0.0319642877309179,0.0300198026815637,106.477341207004,"Fluorouracil_HS578T","R"
"855",855,"Fluorouracil","HS578T",3,0.0291426193892314,0.0300198026815637,97.0779844836521,"Fluorouracil_HS578T","R"
"856",856,"Fluorouracil","HS578T",4,0.0322253412366196,0.0300198026815637,107.346945542751,"Fluorouracil_HS578T","R"
"857",857,"Fluorouracil","HS578T",5,0.0263792225112327,0.0300198026815637,87.8727378425879,"Fluorouracil_HS578T","R"
"858",858,"Fluorouracil","HT29",1,0.0479548651490554,0.0476834215568565,100.569261985269,"Fluorouracil_HT29","R"
"859",859,"Fluorouracil","HT29",2,0.0478999973066287,0.0476834215568565,100.454195069693,"Fluorouracil_HT29","R"
"860",860,"Fluorouracil","HT29",3,0.0487702908103982,0.0476834215568565,102.279344094982,"Fluorouracil_HT29","R"
"861",861,"Fluorouracil","HT29",4,0.0493703737232177,0.0476834215568565,103.537816941995,"Fluorouracil_HT29","R"
"862",862,"Fluorouracil","HT29",5,0.0291437810306383,0.0476834215568565,61.1193158525505,"Fluorouracil_HT29","R"
"863",863,"Fluorouracil","IGROV1",1,0.0374133243607059,0.038474897061932,97.240869288052,"Fluorouracil_IGROV1","R"
"864",864,"Fluorouracil","IGROV1",2,0.0385236567075131,0.038474897061932,100.126731061821,"Fluorouracil_IGROV1","R"
"865",865,"Fluorouracil","IGROV1",3,0.0375671576357099,0.038474897061932,97.6406969334813,"Fluorouracil_IGROV1","R"
"866",866,"Fluorouracil","IGROV1",4,0.0401927819246115,0.038474897061932,104.464949860462,"Fluorouracil_IGROV1","R"
"867",867,"Fluorouracil","IGROV1",5,0.0278880535428907,0.038474897061932,72.4837638889588,"Fluorouracil_IGROV1","R"
"868",868,"Fluorouracil","LOXIMVI",1,0.0523939032095244,0.0508644306721432,103.006958924282,"Fluorouracil_LOXIMVI","S"
"869",869,"Fluorouracil","LOXIMVI",2,0.0531589828639517,0.0508644306721432,104.511113486354,"Fluorouracil_LOXIMVI","S"
"870",870,"Fluorouracil","LOXIMVI",3,0.0517052421918143,0.0508644306721432,101.653044197213,"Fluorouracil_LOXIMVI","S"
"871",871,"Fluorouracil","LOXIMVI",4,0.0476873088338456,0.0508644306721432,93.7537454045709,"Fluorouracil_LOXIMVI","S"
"872",872,"Fluorouracil","LOXIMVI",5,0.0200774594835676,0.0508644306721432,39.4724942720402,"Fluorouracil_LOXIMVI","S"
"873",873,"Fluorouracil","M14",1,0.0393953081223067,0.0383425390848164,102.745694632172,"Fluorouracil_M14","R"
"874",874,"Fluorouracil","M14",2,0.0381366825443334,0.0383425390848164,99.4631118715752,"Fluorouracil_M14","R"
"875",875,"Fluorouracil","M14",3,0.0387095251243188,0.0383425390848164,100.957125032045,"Fluorouracil_M14","R"
"876",876,"Fluorouracil","M14",4,0.035892337867461,0.0383425390848164,93.609705366837,"Fluorouracil_M14","R"
"877",877,"Fluorouracil","M14",5,0.0297858841766605,0.0383425390848164,77.683650816061,"Fluorouracil_M14","R"
"878",878,"Fluorouracil","MALME3M",1,0.0152642577286386,0.0149155090091872,102.33816170294,"Fluorouracil_MALME3M","S"
"879",879,"Fluorouracil","MALME3M",2,0.0144616395216978,0.0149155090091872,96.9570633680032,"Fluorouracil_MALME3M","S"
"880",880,"Fluorouracil","MALME3M",3,0.0176610784852954,0.0149155090091872,118.407480927517,"Fluorouracil_MALME3M","S"
"881",881,"Fluorouracil","MALME3M",4,0.0141546129207949,0.0149155090091872,94.8986247272982,"Fluorouracil_MALME3M","S"
"882",882,"Fluorouracil","MALME3M",5,0.00564048842255972,0.0149155090091872,37.8162650640047,"Fluorouracil_MALME3M","S"
"883",883,"Fluorouracil","MDAMB231",1,0.0318992659096223,0.0313143348703864,101.867933780669,"Fluorouracil_MDAMB231","R"
"884",884,"Fluorouracil","MDAMB231",2,0.0309196307682355,0.0313143348703864,98.7395417983982,"Fluorouracil_MDAMB231","R"
"885",885,"Fluorouracil","MDAMB231",3,0.0309254399426738,0.0313143348703864,98.7580929650196,"Fluorouracil_MDAMB231","R"
"886",886,"Fluorouracil","MDAMB231",4,0.0306766372481595,0.0313143348703864,97.9635600600606,"Fluorouracil_MDAMB231","R"
"887",887,"Fluorouracil","MDAMB231",5,0.0229542312870511,0.0313143348703864,73.3026308304529,"Fluorouracil_MDAMB231","R"
"888",888,"Fluorouracil","OVCAR4",1,0.0283911030569543,0.029170765833557,97.327246116707,"Fluorouracil_OVCAR4","R"
"889",889,"Fluorouracil","OVCAR4",2,0.0299549939388608,0.029170765833557,102.688404239294,"Fluorouracil_OVCAR4","R"
"890",890,"Fluorouracil","OVCAR4",3,0.0300913432698543,0.029170765833557,103.155821967617,"Fluorouracil_OVCAR4","R"
"891",891,"Fluorouracil","OVCAR4",4,0.0263641711227541,0.029170765833557,90.3787417621575,"Fluorouracil_OVCAR4","R"
"892",892,"Fluorouracil","OVCAR4",5,0.0219374413887764,0.029170765833557,75.2035154440149,"Fluorouracil_OVCAR4","R"
"893",893,"Fluorouracil","OVCAR5",1,0.0468680978505116,0.0434162002674235,107.950713240279,"Fluorouracil_OVCAR5","R"
"894",894,"Fluorouracil","OVCAR5",2,0.0432687113904463,0.0434162002674235,99.6602906839641,"Fluorouracil_OVCAR5","R"
"895",895,"Fluorouracil","OVCAR5",3,0.0434857463983757,0.0434162002674235,100.160184747914,"Fluorouracil_OVCAR5","R"
"896",896,"Fluorouracil","OVCAR5",4,0.0465505830152541,0.0434162002674235,107.219385226077,"Fluorouracil_OVCAR5","R"
"897",897,"Fluorouracil","OVCAR5",5,0.0346006339029089,0.0434162002674235,79.6952144355912,"Fluorouracil_OVCAR5","R"
"898",898,"Fluorouracil","SF539",1,0.0383010951790294,0.0384652108775527,99.5733399225451,"Fluorouracil_SF539","I"
"899",899,"Fluorouracil","SF539",2,0.0374075452857892,0.0384652108775527,97.2503320074589,"Fluorouracil_SF539","I"
"900",900,"Fluorouracil","SF539",3,0.0365524049043639,0.0384652108775527,95.0271792886358,"Fluorouracil_SF539","I"
"901",901,"Fluorouracil","SF539",4,0.0375855755453947,0.0384652108775527,97.7131664896933,"Fluorouracil_SF539","I"
"902",902,"Fluorouracil","SF539",5,0.0220910771826961,0.0384652108775527,57.4313169711177,"Fluorouracil_SF539","I"
"903",903,"Fluorouracil","SKMEL2",2,0.0343052772172516,0.0333796703715687,102.772965806371,"Fluorouracil_SKMEL2","R"
"904",904,"Fluorouracil","SKMEL2",3,0.0338483555199777,0.0333796703715687,101.404103585182,"Fluorouracil_SKMEL2","R"
"905",905,"Fluorouracil","SKMEL2",4,0.034552079137536,0.0333796703715687,103.512343749703,"Fluorouracil_SKMEL2","R"
"906",906,"Fluorouracil","SKMEL2",5,0.0226335630681687,0.0333796703715687,67.8064307293069,"Fluorouracil_SKMEL2","R"
"907",907,"Fluorouracil","SW620",1,0.0385056712811472,0.037384362126904,102.999406945709,"Fluorouracil_SW620","R"
"908",908,"Fluorouracil","SW620",2,0.0383401215185531,0.037384362126904,102.556575362727,"Fluorouracil_SW620","R"
"909",909,"Fluorouracil","SW620",3,0.0374501083544077,0.037384362126904,100.175865585938,"Fluorouracil_SW620","R"
"910",910,"Fluorouracil","SW620",4,0.0378280811922434,0.037384362126904,101.186910890262,"Fluorouracil_SW620","R"
"911",911,"Fluorouracil","SW620",5,0.0279421324044906,0.037384362126904,74.7428358136457,"Fluorouracil_SW620","R"
"912",912,"Fluorouracil","T47D",1,0.0272773201214349,0.0276361106024267,98.70173308338,"Fluorouracil_T47D","R"
"913",913,"Fluorouracil","T47D",2,0.0271121559854174,0.0276361106024267,98.1040942245928,"Fluorouracil_T47D","R"
"914",914,"Fluorouracil","T47D",3,0.0277013399518297,0.0276361106024267,100.236029412175,"Fluorouracil_T47D","R"
"915",915,"Fluorouracil","T47D",4,0.026062752237425,0.0276361106024267,94.3068748434391,"Fluorouracil_T47D","R"
"916",916,"Fluorouracil","T47D",5,0.0188362839259237,0.0276361106024267,68.1582303562993,"Fluorouracil_T47D","R"
"917",917,"Fluorouracil","UACC257",1,0.0278256644990837,0.0272559337351184,102.090299930657,"Fluorouracil_UACC257","R"
"918",918,"Fluorouracil","UACC257",2,0.026023579334473,0.0272559337351184,95.4785830761776,"Fluorouracil_UACC257","R"
"919",919,"Fluorouracil","UACC257",3,0.0275176837822119,0.0272559337351184,100.960341515492,"Fluorouracil_UACC257","R"
"920",920,"Fluorouracil","UACC257",4,0.0259743388372209,0.0272559337351184,95.2979233426657,"Fluorouracil_UACC257","R"
"921",921,"Fluorouracil","UACC257",5,0.0201661727128266,0.0272559337351184,73.9881924751055,"Fluorouracil_UACC257","R"
"922",922,"Gemcitabine","A498",2,0.035681682298917,0.0314525111334736,113.446211488476,"Gemcitabine_A498","S"
"923",923,"Gemcitabine","A498",3,0.0192102498371782,0.0314525111334736,61.0769987669872,"Gemcitabine_A498","S"
"924",924,"Gemcitabine","A498",4,-0.00166895975433836,0.0314525111334736,-5.30628459920376,"Gemcitabine_A498","S"
"925",925,"Gemcitabine","A498",5,-0.00175275088561783,0.0314525111334736,-5.57268981856414,"Gemcitabine_A498","S"
"926",926,"Gemcitabine","ACHN",1,0.0376692891284723,0.0380091976631821,99.1057203108525,"Gemcitabine_ACHN","S"
"927",927,"Gemcitabine","ACHN",2,0.0276688341966897,0.0380091976631821,72.7951019694672,"Gemcitabine_ACHN","S"
"928",928,"Gemcitabine","ACHN",3,0.0060219135146818,0.0380091976631821,15.8433060546158,"Gemcitabine_ACHN","S"
"929",929,"Gemcitabine","ACHN",4,0.00339913576173722,0.0380091976631821,8.94292952947497,"Gemcitabine_ACHN","S"
"930",930,"Gemcitabine","ACHN",5,-0.000510787471680242,0.0380091976631821,-1.3438522859824,"Gemcitabine_ACHN","S"
"931",931,"Gemcitabine","BT549",1,0.032597341105271,0.0361593240141026,90.1491993947607,"Gemcitabine_BT549","I"
"932",932,"Gemcitabine","BT549",2,0.0329759126725399,0.0361593240141026,91.1961536108331,"Gemcitabine_BT549","I"
"933",933,"Gemcitabine","BT549",3,0.027353495865679,0.0361593240141026,75.6471438874543,"Gemcitabine_BT549","I"
"934",934,"Gemcitabine","BT549",4,0.02263842231391,0.0361593240141026,62.6074268011225,"Gemcitabine_BT549","I"
"935",935,"Gemcitabine","BT549",5,0.020170327932345,0.0361593240141026,55.7818169512193,"Gemcitabine_BT549","I"
"936",936,"Gemcitabine","COLO205",1,0.0553609707430252,0.0534429368350681,103.588938074037,"Gemcitabine_COLO205","S"
"937",937,"Gemcitabine","COLO205",2,0.0533592553961135,0.0534429368350681,99.8434190860192,"Gemcitabine_COLO205","S"
"938",938,"Gemcitabine","COLO205",3,0.0573987138039146,0.0534429368350681,107.401870486748,"Gemcitabine_COLO205","S"
"939",939,"Gemcitabine","COLO205",4,0.0310887262844463,0.0534429368350681,58.1718148843321,"Gemcitabine_COLO205","S"
"940",940,"Gemcitabine","COLO205",5,0.0210432764031856,0.0534429368350681,39.3752245841726,"Gemcitabine_COLO205","S"
"941",941,"Gemcitabine","EKVX",1,0.0229802470588201,0.0225374094814301,101.964900082038,"Gemcitabine_EKVX","R"
"942",942,"Gemcitabine","EKVX",2,0.0214980443343139,0.0225374094814301,95.3882670145714,"Gemcitabine_EKVX","R"
"943",943,"Gemcitabine","EKVX",3,0.021434354546225,0.0225374094814301,95.1056711459495,"Gemcitabine_EKVX","R"
"944",944,"Gemcitabine","EKVX",4,0.0180485238812586,0.0225374094814301,80.0825130152151,"Gemcitabine_EKVX","R"
"945",945,"Gemcitabine","EKVX",5,0.0156924585178704,0.0225374094814301,69.6284927103104,"Gemcitabine_EKVX","R"
"946",946,"Gemcitabine","HCT15",1,0.044295166741822,0.0483074373286203,91.6943004873057,"Gemcitabine_HCT15","I"
"947",947,"Gemcitabine","HCT15",2,0.0464420814077705,0.0483074373286203,96.1385740498706,"Gemcitabine_HCT15","I"
"948",948,"Gemcitabine","HCT15",3,0.04054293284769,0.0483074373286203,83.9268963325236,"Gemcitabine_HCT15","I"
"949",949,"Gemcitabine","HCT15",4,0.0338619808761769,0.0483074373286203,70.0968272148747,"Gemcitabine_HCT15","I"
"950",950,"Gemcitabine","HCT15",5,0.0276315745923316,0.0483074373286203,57.1994212906859,"Gemcitabine_HCT15","I"
"951",951,"Gemcitabine","HOP62",1,0.0324134550519494,0.0328472134228197,98.6794667624104,"Gemcitabine_HOP62","S"
"952",952,"Gemcitabine","HOP62",2,0.0304324614308487,0.0328472134228197,92.6485331924886,"Gemcitabine_HOP62","S"
"953",953,"Gemcitabine","HOP62",3,0.0252824082845561,0.0328472134228197,76.969720259411,"Gemcitabine_HOP62","S"
"954",954,"Gemcitabine","HOP62",4,0.00994076870759703,0.0328472134228197,30.2636591409941,"Gemcitabine_HOP62","S"
"955",955,"Gemcitabine","HOP62",5,0.00113603716515059,0.0328472134228197,3.45854958996721,"Gemcitabine_HOP62","S"
"956",956,"Gemcitabine","HS578T",1,0.0280473879675446,0.0300198026815637,93.4296213238255,"Gemcitabine_HS578T","R"
"957",957,"Gemcitabine","HS578T",2,0.0322282744508828,0.0300198026815637,107.356716473941,"Gemcitabine_HS578T","R"
"958",958,"Gemcitabine","HS578T",3,0.0219040857379067,0.0300198026815637,72.9654554037385,"Gemcitabine_HS578T","R"
"959",959,"Gemcitabine","HS578T",4,0.0211151394324966,0.0300198026815637,70.3373691575402,"Gemcitabine_HS578T","R"
"960",960,"Gemcitabine","HS578T",5,0.0213886946628338,0.0300198026815637,71.2486184193656,"Gemcitabine_HS578T","R"
"961",961,"Gemcitabine","HT29",1,0.0478719973192127,0.0476834215568565,100.39547447771,"Gemcitabine_HT29","I"
"962",962,"Gemcitabine","HT29",2,0.0481019711818073,0.0476834215568565,100.877767599902,"Gemcitabine_HT29","I"
"963",963,"Gemcitabine","HT29",3,0.0401719081277602,0.0476834215568565,84.2471173757114,"Gemcitabine_HT29","I"
"964",964,"Gemcitabine","HT29",4,0.033637562532635,0.0476834215568565,70.5435168752024,"Gemcitabine_HT29","I"
"965",965,"Gemcitabine","HT29",5,0.0275198708291543,0.0476834215568565,57.7137083091663,"Gemcitabine_HT29","I"
"966",966,"Gemcitabine","IGROV1",1,0.0387725973773292,0.038474897061932,100.773752077668,"Gemcitabine_IGROV1","R"
"967",967,"Gemcitabine","IGROV1",2,0.0397458755591622,0.038474897061932,103.303396745115,"Gemcitabine_IGROV1","R"
"968",968,"Gemcitabine","IGROV1",3,0.0338826222934312,0.038474897061932,88.0642311762168,"Gemcitabine_IGROV1","R"
"969",969,"Gemcitabine","IGROV1",4,0.028682700687587,0.038474897061932,74.5491291150622,"Gemcitabine_IGROV1","R"
"970",970,"Gemcitabine","IGROV1",5,0.026488570369756,0.038474897061932,68.8463709912416,"Gemcitabine_IGROV1","R"
"971",971,"Gemcitabine","LOXIMVI",1,0.0498708606367485,0.0508644306721432,98.0466309712598,"Gemcitabine_LOXIMVI","S"
"972",972,"Gemcitabine","LOXIMVI",2,0.0513199922480626,0.0508644306721432,100.895638798861,"Gemcitabine_LOXIMVI","S"
"973",973,"Gemcitabine","LOXIMVI",3,0.0360033560591783,0.0508644306721432,70.7829726656042,"Gemcitabine_LOXIMVI","S"
"974",974,"Gemcitabine","LOXIMVI",4,-0.00413569014249489,0.0508644306721432,-8.13080985640497,"Gemcitabine_LOXIMVI","S"
"975",975,"Gemcitabine","LOXIMVI",5,-0.00559632730504322,0.0508644306721432,-11.0024377174601,"Gemcitabine_LOXIMVI","S"
"976",976,"Gemcitabine","M14",1,0.038786703918025,0.0383425390848164,101.158412676391,"Gemcitabine_M14","S"
"977",977,"Gemcitabine","M14",2,0.0393579658490574,0.0383425390848164,102.648303394814,"Gemcitabine_M14","S"
"978",978,"Gemcitabine","M14",3,0.0281098310911343,0.0383425390848164,73.3123881779276,"Gemcitabine_M14","S"
"979",979,"Gemcitabine","M14",4,0.0056613171701818,0.0383425390848164,14.7651076462583,"Gemcitabine_M14","S"
"980",980,"Gemcitabine","M14",5,0.00631932707696881,0.0383425390848164,16.4812430991855,"Gemcitabine_M14","S"
"981",981,"Gemcitabine","MALME3M",1,0.0130557141305811,0.0149155090091872,87.5311336846731,"Gemcitabine_MALME3M","S"
"982",982,"Gemcitabine","MALME3M",2,0.0110725682161067,0.0149155090091872,74.2352688687094,"Gemcitabine_MALME3M","S"
"983",983,"Gemcitabine","MALME3M",3,0.00525706566471766,0.0149155090091872,35.2456336654658,"Gemcitabine_MALME3M","S"
"984",984,"Gemcitabine","MALME3M",4,0.00255134490997146,0.0149155090091872,17.1053157381351,"Gemcitabine_MALME3M","S"
"985",985,"Gemcitabine","MALME3M",5,-0.000125906269538776,0.0149155090091872,-0.844129888300994,"Gemcitabine_MALME3M","S"
"986",986,"Gemcitabine","MDAMB231",1,0.0331834551539937,0.0313143348703864,105.968896645398,"Gemcitabine_MDAMB231","S"
"987",987,"Gemcitabine","MDAMB231",2,0.032500774701409,0.0313143348703864,103.788807381454,"Gemcitabine_MDAMB231","S"
"988",988,"Gemcitabine","MDAMB231",3,0.0215797776403584,0.0313143348703864,68.9134153086103,"Gemcitabine_MDAMB231","S"
"989",989,"Gemcitabine","MDAMB231",4,0.0251027992629316,0.0313143348703864,80.163922902514,"Gemcitabine_MDAMB231","S"
"990",990,"Gemcitabine","MDAMB231",5,0.0108451565237455,0.0313143348703864,34.6332009561592,"Gemcitabine_MDAMB231","S"
"991",991,"Gemcitabine","OVCAR4",1,0.0273019477511328,0.029170765833557,93.5935241018788,"Gemcitabine_OVCAR4","R"
"992",992,"Gemcitabine","OVCAR4",2,0.0272390084489404,0.029170765833557,93.377762532397,"Gemcitabine_OVCAR4","R"
"993",993,"Gemcitabine","OVCAR4",3,0.0287413860604254,0.029170765833557,98.5280476502348,"Gemcitabine_OVCAR4","R"
"994",994,"Gemcitabine","OVCAR4",4,0.0256854365864469,0.029170765833557,88.0519789333036,"Gemcitabine_OVCAR4","R"
"995",995,"Gemcitabine","OVCAR4",5,0.0247790211777463,0.029170765833557,84.9447056657026,"Gemcitabine_OVCAR4","R"
"996",996,"Gemcitabine","OVCAR5",1,0.0421759394079952,0.0434162002674235,97.1433224193068,"Gemcitabine_OVCAR5","S"
"997",997,"Gemcitabine","OVCAR5",2,0.0468451100638405,0.0434162002674235,107.897765754019,"Gemcitabine_OVCAR5","S"
"998",998,"Gemcitabine","OVCAR5",3,0.0369597754268649,0.0434162002674235,85.1289960871977,"Gemcitabine_OVCAR5","S"
"999",999,"Gemcitabine","OVCAR5",4,0.0190505160404084,0.0434162002674235,43.8788192496489,"Gemcitabine_OVCAR5","S"
"1000",1000,"Gemcitabine","OVCAR5",5,0.0182207240421508,0.0434162002674235,41.9675695475875,"Gemcitabine_OVCAR5","S"
"1001",1001,"Gemcitabine","SF539",1,0.0353294724078547,0.0384652108775527,91.8478583682277,"Gemcitabine_SF539","S"
"1002",1002,"Gemcitabine","SF539",2,0.0435621484841929,0.0384652108775527,113.250772556182,"Gemcitabine_SF539","S"
"1003",1003,"Gemcitabine","SF539",3,0.0319862135959143,0.0384652108775527,83.1562153597359,"Gemcitabine_SF539","S"
"1004",1004,"Gemcitabine","SF539",4,0.00508392510867348,0.0384652108775527,13.2169432915818,"Gemcitabine_SF539","S"
"1005",1005,"Gemcitabine","SF539",5,0.00858782302232187,0.0384652108775527,22.3262080888097,"Gemcitabine_SF539","S"
"1006",1006,"Gemcitabine","SKMEL2",1,0.0345168934621959,0.0333796703715687,103.406933255985,"Gemcitabine_SKMEL2","S"
"1007",1007,"Gemcitabine","SKMEL2",2,0.0375638731626626,0.0333796703715687,112.535183075558,"Gemcitabine_SKMEL2","S"
"1008",1008,"Gemcitabine","SKMEL2",3,0.0306514094275264,0.0333796703715687,91.8265791313321,"Gemcitabine_SKMEL2","S"
"1009",1009,"Gemcitabine","SKMEL2",4,0.0244052143940441,0.0333796703715687,73.11400658657,"Gemcitabine_SKMEL2","S"
"1010",1010,"Gemcitabine","SKMEL2",5,0.0151591631082817,0.0333796703715687,45.4143583191091,"Gemcitabine_SKMEL2","S"
"1011",1011,"Gemcitabine","SW620",1,0.0363004629637102,0.037384362126904,97.100661609487,"Gemcitabine_SW620","R"
"1012",1012,"Gemcitabine","SW620",2,0.0380225875304598,0.037384362126904,101.707198858681,"Gemcitabine_SW620","R"
"1013",1013,"Gemcitabine","SW620",3,0.0358806160728882,0.037384362126904,95.9776067626586,"Gemcitabine_SW620","R"
"1014",1014,"Gemcitabine","SW620",4,0.0337757889934122,0.037384362126904,90.3473727296933,"Gemcitabine_SW620","R"
"1015",1015,"Gemcitabine","SW620",5,0.0297311047597842,0.037384362126904,79.528185231193,"Gemcitabine_SW620","R"
"1016",1016,"Gemcitabine","T47D",1,0.0272698435027726,0.0276361106024267,98.6746792813097,"Gemcitabine_T47D","S"
"1017",1017,"Gemcitabine","T47D",2,0.0275638550443198,0.0276361106024267,99.7385465735521,"Gemcitabine_T47D","S"
"1018",1018,"Gemcitabine","T47D",3,0.0226296455079361,0.0276361106024267,81.8843354388261,"Gemcitabine_T47D","S"
"1019",1019,"Gemcitabine","T47D",4,0.00961100762725119,0.0276361106024267,34.7769907477763,"Gemcitabine_T47D","S"
"1020",1020,"Gemcitabine","T47D",5,0.0119316322170526,0.0276361106024267,43.1740645009752,"Gemcitabine_T47D","S"
"1021",1021,"Gemcitabine","UACC257",1,0.0271531559797406,0.0272559337351184,99.6229160359109,"Gemcitabine_UACC257","S"
"1022",1022,"Gemcitabine","UACC257",2,0.0283981040699897,0.0272559337351184,104.190538273138,"Gemcitabine_UACC257","S"
"1023",1023,"Gemcitabine","UACC257",3,0.0173420523050523,0.0272559337351184,63.6267040916217,"Gemcitabine_UACC257","S"
"1024",1024,"Gemcitabine","UACC257",4,0.0133562869961464,0.0272559337351184,49.0032266953204,"Gemcitabine_UACC257","S"
"1025",1025,"Gemcitabine","UACC257",5,0.0137183128409806,0.0272559337351184,50.3314726778374,"Gemcitabine_UACC257","S"
"1026",1026,"Irinotecan","A498",1,0.0378140175374161,0.0314525111334736,120.225750424017,"Irinotecan_A498","S"
"1027",1027,"Irinotecan","A498",2,0.0319098725618451,0.0314525111334736,101.454133269139,"Irinotecan_A498","S"
"1028",1028,"Irinotecan","A498",4,0.0330371406245179,0.0314525111334736,105.038165265469,"Irinotecan_A498","S"
"1029",1029,"Irinotecan","A498",5,0.0141390350874895,0.0314525111334736,44.9535969560214,"Irinotecan_A498","S"
"1030",1030,"Irinotecan","ACHN",1,0.036610531147228,0.0380091976631821,96.320189317469,"Irinotecan_ACHN","S"
"1031",1031,"Irinotecan","ACHN",2,0.0381004026832355,0.0380091976631821,100.239955131023,"Irinotecan_ACHN","S"
"1032",1032,"Irinotecan","ACHN",3,0.0376939802022529,0.0380091976631821,99.1706810974479,"Irinotecan_ACHN","S"
"1033",1033,"Irinotecan","ACHN",4,0.0380549177682222,0.0380091976631821,100.120286951188,"Irinotecan_ACHN","S"
"1034",1034,"Irinotecan","ACHN",5,0.00240721195252096,0.0380091976631821,6.33323537595407,"Irinotecan_ACHN","S"
"1035",1035,"Irinotecan","BT549",1,0.0356746876023784,0.0361593240141026,98.6597193809951,"Irinotecan_BT549","R"
"1036",1036,"Irinotecan","BT549",2,0.0366467358207289,0.0361593240141026,101.347956080253,"Irinotecan_BT549","R"
"1037",1037,"Irinotecan","BT549",3,0.0306645273120315,0.0361593240141026,84.8039285802796,"Irinotecan_BT549","R"
"1038",1038,"Irinotecan","BT549",4,0.0330301443776454,0.0361593240141026,91.3461334751812,"Irinotecan_BT549","R"
"1039",1039,"Irinotecan","BT549",5,0.0245441677706516,0.0361593240141026,67.8778390909052,"Irinotecan_BT549","R"
"1040",1040,"Irinotecan","COLO205",1,0.0565830988929015,0.0534429368350681,105.875728849865,"Irinotecan_COLO205","I"
"1041",1041,"Irinotecan","COLO205",2,0.0546982744515058,0.0534429368350681,102.348930823753,"Irinotecan_COLO205","I"
"1042",1042,"Irinotecan","COLO205",3,0.0528003185791078,0.0534429368350681,98.7975618594026,"Irinotecan_COLO205","I"
"1043",1043,"Irinotecan","COLO205",4,0.054063299793209,0.0534429368350681,101.160795036499,"Irinotecan_COLO205","I"
"1044",1044,"Irinotecan","COLO205",5,0.0316359016851493,0.0534429368350681,59.1956646820924,"Irinotecan_COLO205","I"
"1045",1045,"Irinotecan","EKVX",1,0.0229121444515271,0.0225374094814301,101.662724238142,"Irinotecan_EKVX","R"
"1046",1046,"Irinotecan","EKVX",2,0.0228578274855662,0.0225374094814301,101.421716210996,"Irinotecan_EKVX","R"
"1047",1047,"Irinotecan","EKVX",3,0.0242885852798291,0.0225374094814301,107.770084666749,"Irinotecan_EKVX","R"
"1048",1048,"Irinotecan","EKVX",4,0.0227007339443552,0.0225374094814301,100.724681614627,"Irinotecan_EKVX","R"
"1049",1049,"Irinotecan","EKVX",5,0.0185095340336887,0.0225374094814301,82.1280460335947,"Irinotecan_EKVX","R"
"1050",1050,"Irinotecan","HCT15",1,0.0480500773109683,0.0483074373286203,99.4672455591025,"Irinotecan_HCT15","R"
"1051",1051,"Irinotecan","HCT15",2,0.0465169861142205,0.0483074373286203,96.293632381656,"Irinotecan_HCT15","R"
"1052",1052,"Irinotecan","HCT15",3,0.0473162576633064,0.0483074373286203,97.948184130383,"Irinotecan_HCT15","R"
"1053",1053,"Irinotecan","HCT15",4,0.0479346484587607,0.0483074373286203,99.228299221663,"Irinotecan_HCT15","R"
"1054",1054,"Irinotecan","HCT15",5,0.0437762783059592,0.0483074373286203,90.6201627053054,"Irinotecan_HCT15","R"
"1055",1055,"Irinotecan","HOP62",1,0.0326970439759356,0.0328472134228197,99.5428243944134,"Irinotecan_HOP62","S"
"1056",1056,"Irinotecan","HOP62",2,0.030279409920832,0.0328472134228197,92.1825834388624,"Irinotecan_HOP62","S"
"1057",1057,"Irinotecan","HOP62",3,0.0315293010039637,0.0328472134228197,95.9877497007388,"Irinotecan_HOP62","S"
"1058",1058,"Irinotecan","HOP62",4,0.0296550244570797,0.0328472134228197,90.2817054078555,"Irinotecan_HOP62","S"
"1059",1059,"Irinotecan","HOP62",5,0.00725418847139681,0.0328472134228197,22.0846388946867,"Irinotecan_HOP62","S"
"1060",1060,"Irinotecan","HS578T",1,0.0296132730328518,0.0300198026815637,98.645795067262,"Irinotecan_HS578T","R"
"1061",1061,"Irinotecan","HS578T",2,0.0270911106455733,0.0300198026815637,90.244132957646,"Irinotecan_HS578T","R"
"1062",1062,"Irinotecan","HS578T",3,0.0266628848866408,0.0300198026815637,88.8176553639223,"Irinotecan_HS578T","R"
"1063",1063,"Irinotecan","HS578T",4,0.0299387247621932,0.0300198026815637,99.7299185466655,"Irinotecan_HS578T","R"
"1064",1064,"Irinotecan","HS578T",5,0.0188680176085293,0.0300198026815637,62.8519041536434,"Irinotecan_HS578T","R"
"1065",1065,"Irinotecan","HT29",1,0.047598622306801,0.0476834215568565,99.8221619856822,"Irinotecan_HT29","R"
"1066",1066,"Irinotecan","HT29",2,0.0462157559808426,0.0476834215568565,96.9220632075156,"Irinotecan_HT29","R"
"1067",1067,"Irinotecan","HT29",3,0.0492874327269228,0.0476834215568565,103.363875992317,"Irinotecan_HT29","R"
"1068",1068,"Irinotecan","HT29",4,0.0489430077455389,0.0476834215568565,102.641559996236,"Irinotecan_HT29","R"
"1069",1069,"Irinotecan","HT29",5,0.0438954684657685,0.0476834215568565,92.0560375757193,"Irinotecan_HT29","R"
